"Name","Pin","Function","Symbolic name","Direction","Mode","Pad level","Pad strength","Pin function","Pad class","Power domain","Reset state"
"P33.14","AA19","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEVRSB","PU1"
"P33.15","AB19","","","Input","Pull-up","CMOS/Automotive","","","SLOW","VEVRSB","PU1"
"P34.1","AB16","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P34.2","AA17","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P34.3","AB17","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P34.4","AA18","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P34.5","AB18","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEVRSB","PU1"
"SCR_P00.0","","","","Input","Pull-up","CMOS/Automotive","","","LP5","","PU"
"SCR_P00.1","","","","Input","Pull-up","CMOS/Automotive","","","LP5","","PU"
"SCR_P00.2","","","","Input","Pull-up","CMOS/Automotive","","","LP5","","PU"
"SCR_P00.3","","","","Input","Pull-up","CMOS/Automotive","","","LP5","","PU"
"SCR_P00.4","","","","Input","Pull-up","CMOS/Automotive","","Digital","LP5","","PU"
"SCR_P00.5","","","","Input","Pull-up","CMOS/Automotive","","Digital","LP5","","PU"
"SCR_P00.6","","","","Input","Pull-up","CMOS/Automotive","","Digital","LP5","","PU"
"SCR_P00.7","","","","Input","Pull-up","CMOS/Automotive","","Digital","LP5","","PU"
"SCR_P01.0","","","","Input","Pull-up","CMOS/Automotive","","","LP5","","PU"
"SCR_P01.1","","","","Input","Pull-up","CMOS/Automotive","","","LP5","","PU"
"SCR_P01.2","","","","Input","Pull-up","CMOS/Automotive","","","MP5","","PU"
"SCR_P01.3","","","","Input","Pull-up","CMOS/Automotive","","","MP5","","PU"
"SCR_P01.4","","","","Input","Pull-up","CMOS/Automotive","","","MP5","","PU"
"SCR_P01.5","","","","Input","Pull-up","CMOS/Automotive","","","MP5","","PU"
"SCR_P01.6","","","","Input","Pull-up","CMOS/Automotive","","","MP5","","PU"
"SCR_P01.7","","","","Input","Pull-up","CMOS/Automotive","","","LP5","","PU"
"TCK","P21","","","","","","","","FAST","VEXT","PD2"
"TMS","R21","","","","","","","","FAST","VEXT","PD2"
"VAGND1","AE12","","","","","","","","","",""
"VAGND2","AA7","","","","","","","","","",""
"VAGND3","AG2","","","","","","","","","",""
"VAREF1","AE11","","","","","","","","—","",""
"VAREF2","AA6","","","","","","","","—","",""
"VAREF3","AG1","","","","","","","","—","",""
"VDD","M18","","","","","","","","—","",""
"VDD","V12","","","","","","","","—","",""
"VDD","N19","","","","","","","","—","",""
"VDD","J21","","","","","","","","—","",""
"VDD","W13","","","","","","","","—","",""
"VDD","K20","","","","","","","","—","",""
"VDD","V24","","","","","","","","—","",""
"VDD","N12","","","","","","","","—","",""
"VDD","M13","","","","","","","","—","",""
"VDD","W18","","","","","","","","—","",""
"VDD","V19","","","","","","","","—","",""
"VDDM","AJ9","","","","","","","","—","",""
"VDDM","AE10","","","","","","","","—","",""
"VDDM","AK9","","","","","","","","—","",""
"VDDP3","B28","","","","","","","","—","",""
"VDDP3","A29","","","","","","","","—","",""
"VDDP3","G23","","","","","","","","—","",""
"VDDP3","F24","","","","","","","","—","",""
"VEVRSB","AA16","","","","","","","","—","",""
"VEXT","J30","","","","","","","","—","",""
"VEXT","AK29","","","","","","","","—","",""
"VEXT","J29","","","","","","","","—","",""
"VEXT","AH29","","","","","","","","—","",""
"VEXT","A2","","","","","","","","—","",""
"VEXT","B3","","","","","","","","—","",""
"VEXT","F7","","","","","","","","—","",""
"VEXT","G8","","","","","","","","—","",""
"VEXT","AK11","","","","","","","","—","",""
"VEXT","AK20","","","","","","","","—","",""
"VEXT","AJ11","","","","","","","","—","",""
"VEXT","AJ30","","","","","","","","—","",""
"VEXT","V25","","","","","","","","—","",""
"VEXT","AD25","","","","","","","","—","",""
"VEXT","AH30","","","","","","","","—","",""
"VEXT","AC24","","","","","","","","—","",""
"VFLEX","J10","","","","","","","","—","",""
"VSS","F25","","","","","","","","—","",""
"VSS","B29","","","","","","","","—","",""
"VSS","J22","","","","","","","","—","",""
"VSS","H29","","","","","","","","—","",""
"VSS","AJ10","","","","","","","","—","",""
"VSS","T25","","","","","","","","—","",""
"VSS","AK30","","","","","","","","—","",""
"VSS","B30","","","","","","","","—","",""
"VSS","H30","","","","","","","","—","",""
"VSS","K10","","","","","","","","—","",""
"VSS","AJ29","","","","","","","","—","",""
"VSS","J9","","","","","","","","—","",""
"VSS","B2","","","","","","","","—","",""
"VSS","M15","","","","","","","","—","",""
"VSS","M14","","","","","","","","—","",""
"VSS","M17","","","","","","","","—","",""
"VSS","M16","","","","","","","","—","",""
"VSS","U13","","","","","","","","—","",""
"VSS","U12","","","","","","","","—","",""
"VSS","U15","","","","","","","","—","",""
"VSS","W15","","","","","","","","—","",""
"VSS","W14","","","","","","","","—","",""
"VSS","U16","","","","","","","","—","",""
"VSS","AD24","","","","","","","","—","",""
"VSS","W17","","","","","","","","—","",""
"VSS","U19","","","","","","","","—","",""
"VSS","W16","","","","","","","","—","",""
"VSS","U18","","","","","","","","—","",""
"VSS","AB22","","","","","","","","—","",""
"VSS","AA21","","","","","","","","—","",""
"VSS","G24","","","","","","","","—","",""
"VSS","K21","","","","","","","","—","",""
"VSS","G7","","","","","","","","—","",""
"VSS","AK10","","","","","","","","—","",""
"VSS","A30","","","","","","","","—","",""
"VSS","P12","","","","","","","","—","",""
"VSS","N14","","","","","","","","—","",""
"VSS","R12","","","","","","","","—","",""
"VSS","N16","","","","","","","","—","",""
"VSS","P13","","","","","","","","—","",""
"VSS","N15","","","","","","","","—","",""
"VSS","T12","","","","","","","","—","",""
"VSS","R14","","","","","","","","—","",""
"VSS","P16","","","","","","","","—","",""
"VSS","R13","","","","","","","","—","",""
"VSS","P15","","","","","","","","—","",""
"VSS","N17","","","","","","","","—","",""
"VSS","T14","","","","","","","","—","",""
"VSS","R16","","","","","","","","—","",""
"VSS","P18","","","","","","","","—","",""
"VSS","T13","","","","","","","","—","",""
"VSS","R15","","","","","","","","—","",""
"VSS","V14","","","","","","","","—","",""
"VSS","T16","","","","","","","","—","",""
"VSS","R18","","","","","","","","—","",""
"VSS","AE25","","","","","","","","—","",""
"VSS","T15","","","","","","","","—","",""
"VSS","R17","","","","","","","","—","",""
"VSS","P19","","","","","","","","—","",""
"VSS","V16","","","","","","","","—","",""
"VSS","T18","","","","","","","","—","",""
"VSS","V15","","","","","","","","—","",""
"VSS","T17","","","","","","","","—","",""
"VSS","V17","","","","","","","","—","",""
"VSS","T19","","","","","","","","—","",""
"VSSM","AE9","","","","","","","","","",""
"VSSM","AK8","","","","","","","","","",""
"VSSM","AJ8","","","","","","","","","",""
"XTAL1","U25","","","","","","","","XTAL","VEXT",""
"XTAL2","U24","","","","","","","","XTAL","VEXT",""
"nESR0","L21","","","","","","","","FAST","VEXT","OD"
"nESR1","M21","","","","","","","","FAST","VEXT","PU1"
"nPORST","M22","PMS_PORST","","","","","","","PORST","VEXT","PD"
"nTRST","T24","","","","","","","","FAST","VEXT","PU2"
